time,latitude,longitude,depth,temperature,salinity,platform,cycle_number,profile_id,data_mode
2025-11-03 10:12:26.008387,12.507,85.3166,5.0,28.77,33.54,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,11.8,28.55,33.42,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,18.6,28.07,33.59,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,25.4,28.5,33.46,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,32.1,28.08,34.18,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,38.9,27.63,34.05,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,45.7,27.4,34.01,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,52.5,26.8,34.18,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,59.3,26.51,34.29,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,66.1,26.46,34.19,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,72.9,24.77,34.18,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,79.6,24.77,34.08,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,86.4,24.61,34.16,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,93.2,23.72,34.34,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,100.0,22.82,34.21,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,110.0,22.55,34.11,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,137.9,20.42,34.22,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,165.7,18.91,34.35,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,193.6,17.66,34.43,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,221.4,16.74,34.21,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,249.3,16.15,34.23,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,277.1,15.45,34.16,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,305.0,14.38,34.23,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,332.9,13.9,33.9,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,360.7,12.46,34.13,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,388.6,12.57,34.13,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,416.4,11.52,34.2,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,444.3,10.42,34.28,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,472.1,9.49,34.33,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,500.0,9.0,34.17,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,520.0,8.8,34.38,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,581.7,8.69,34.31,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,643.3,8.57,34.04,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,705.0,7.79,34.08,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,766.7,7.56,34.19,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,828.3,8.14,34.14,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,890.0,7.35,34.29,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,951.7,7.51,34.39,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,1013.3,6.47,34.16,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,1075.0,6.87,34.24,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,1136.7,6.18,34.01,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,1198.3,5.64,34.15,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,1260.0,5.73,34.4,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,1321.7,5.56,34.23,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,1383.3,5.68,34.1,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,1445.0,5.3,34.19,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,1506.7,5.11,34.21,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,1568.3,4.83,34.19,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,1630.0,4.6,34.24,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,1691.7,3.77,34.14,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,1753.3,3.64,34.3,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,1815.0,3.97,33.85,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,1876.7,3.52,34.38,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,1938.3,2.94,34.34,2902746,1,2902746_001,D
2025-11-03 10:12:26.008387,12.507,85.3166,2000.0,2.87,34.23,2902746,1,2902746_001,D
2025-11-12 18:28:00.519134,12.5576,85.3422,5.0,28.98,33.72,2902746,2,2902746_002,D
2025-11-12 18:28:00.519134,12.5576,85.3422,11.8,29.08,33.59,2902746,2,2902746_002,D
2025-11-12 18:28:00.519134,12.5576,85.3422,18.6,28.05,33.36,2902746,2,2902746_002,D
2025-11-12 18:28:00.519134,12.5576,85.3422,25.4,27.48,33.55,2902746,2,2902746_002,D
2025-11-12 18:28:00.519134,12.5576,85.3422,32.1,27.82,33.87,2902746,2,2902746_002,D
2025-11-12 18:28:00.519134,12.5576,85.3422,38.9,27.73,34.14,2902746,2,2902746_002,D
2025-11-12 18:28:00.519134,12.5576,85.3422,45.7,27.03,34.0,2902746,2,2902746_002,D
2025-11-12 18:28:00.519134,12.5576,85.3422,52.5,27.03,34.16,2902746,2,2902746_002,D
2025-11-12 18:28:00.519134,12.5576,85.3422,59.3,26.09,33.89,2902746,2,2902746_002,D
2025-11-12 18:28:00.519134,12.5576,85.3422,66.1,25.71,34.13,2902746,2,2902746_002,D
2025-11-12 18:28:00.519134,12.5576,85.3422,72.9,25.0,34.0,2902746,2,2902746_002,D
2025-11-12 18:28:00.519134,12.5576,85.3422,79.6,24.73,34.09,2902746,2,2902746_002,D
2025-11-12 18:28:00.519134,12.5576,85.3422,86.4,23.94,34.15,2902746,2,2902746_002,D
2025-11-12 18:28:00.519134,12.5576,85.3422,93.2,23.77,34.11,2902746,2,2902746_002,D
2025-11-12 18:28:00.519134,12.5576,85.3422,100.0,23.28,34.23,2902746,2,2902746_002,D
2025-11-12 18:28:00.519134,12.5576,85.3422,110.0,22.22,34.25,2902746,2,2902746_002,D
2025-11-12 18:28:00.519134,12.5576,85.3422,137.9,19.87,34.5,2902746,2,2902746_002,D
2025-11-12 18:28:00.519134,12.5576,85.3422,165.7,18.06,34.45,2902746,2,2902746_002,D
2025-11-12 18:28:00.519134,12.5576,85.3422,193.6,17.79,34.49,2902746,2,2902746_002,D
2025-11-12 18:28:00.519134,12.5576,85.3422,221.4,16.58,34.31,2902746,2,2902746_002,D
2025-11-12 18:28:00.519134,12.5576,85.3422,249.3,16.61,34.71,2902746,2,2902746_002,D
